acadm_year	acadm_term	authorize_p	authorize_using	chn_name	classes	comment	counter	counter_exceptAuth	course_avg	course_code	course_group	course_kind	credit	dept_chiabbr	dept_code	dept_group_name	eng_name	eng_teach	form_s	limit	limit_count_h	option_code	restrict	rt	serial_no	teacher	time_inf	generalCore
113	2	5	0	壓力紓解與管理 </br>[ 學分學程：金牌書院 ]			13	13		A0U0006		半	2.0	運休學院	A		Stress Management </br>[ Program: The Program of Elite Athletes College ]			5	50	選	◎初選 金牌書院學程 研究生得下修	N	0001	季力康	四 3-4 和平 樸402	
113	2	10	0	運動行銷學專題研究			8	8		PED0025		半	3.0	體育系（博）	AD30		Special Topics in Sport Marketing			0	50	選	◎課程開放上修	N	0002	鄭志富	二 7-9 和平 體003	
113	2	10	0	體育教學專題研究			2	2		PED0066		半	3.0	體育系（博）	AD30		Special Topics in Physical Education Teaching			0	50	選	◎課程開放上修	N	0003	施登堯	四 2-4 和平 體002	
113	2	10	0	運動社會學專題研究			5	5		PED0076		半	3.0	體育系（博）	AD30		Special Topics in Sport Sociology			0	50	選	◎課程開放上修	N	0004	湯添進	四 7-9 和平 體002	
113	2	2	0	量化研究法			7	7		SRD0002		半	3.0	休旅所（博）	AD31		Quantitative Methodology			2	30	必	◎課程不開放上修	N	0005	陳美燕	四 6-8 和平 綜603	
113	2	3	0	進階運動與休閒行銷學研究			11	11		SRD0005		半	3.0	休旅所（博）	AD31		Studies in Advanced Marketing of Sport and Leisure			2	30	選	◎課程開放上修	N	0006	朱文增	四 7-9 和平 綜604	
113	2	10	0	運動與休閒政策研究			3	3		SRD0006		半	3.0	休旅所（博）	AD31		Studies in Sport and Leisure Policy			2	30	選	◎課程開放上修	N	0007	湯添進	四 2-4 和平 綜603	
113	2	10	0	運動休閒與餐旅管理專題討論			6	6		SRD0024		半	1.0	休旅所（博）	AD31		Seminar on Sport, Leisure, and Hospitality Management			0	30	必	允許重複修 ◎必須先修過【SRD0001  質性研究法】、【SRD0002  量化研究法】其中一門 ◎課程不開放上修	N	0009	朱文增	四 B 和平 教103	
113	2	10	0	體育教學研究			8	8		PEM0005		半	3.0	體育系（碩）	AM30		Research on Teaching Physical Education			0	50	選	◎課程開放上修	N	0010	林靜萍	二 7-9 和平 體001	
113	2	10	0	體育原理研究			16	16		PEM0032		半	3.0	體育系（碩）	AM30		Advanced Principles of Physical Education			0	50	選	◎課程開放上修	N	0011	程瑞福	二 2-4 和平 體001	
113	2	10	0	運動贊助策略研究			5	5		PEM0100		半	3.0	體育系（碩）	AM30		Studies in Strategic Sport Sponsorship	是		0	50	選	◎課程開放上修	N	0012	程紹同	一 2-4 和平 體001	
113	2	10	0	體育師資培育研究			12	12		PEM0108		半	3.0	體育系（碩）	AM30		Studies in Teacher Education- Physical Education	是		0	50	選	◎課程開放上修	N	0013	掌慶維	一 7-9 和平 體001	
113	2	10	0	生物化學	8		15	15		PEC0023		半	3.0	體育系（碩）	AM30		Biochemistry			0	50	選	◎課程開放上修	N	0014	劉宏文	四 6-8 公館 研001	
113	2	10	0	運動與疾病專題研究	8		4	4		PEC0040		半	3.0	體育系（碩）	AM30		Special Topics in Exercise and Disease			3	50	選	◎課程開放上修	N	0016	方進隆	四 2-4 和平 體003	
113	2	10	0	運動生物力學專題研究	8		5	5		PEC0076		半	3.0	體育系（碩）	AM30		Special Topics in Sport Biomechanics	是		0	50	選	◎課程開放上修	N	0017	黃長福	五 6-8 公館 研001	
113	2	10	0	運動生理學專題研究	8		7	7		PEC0081		半	3.0	體育系（碩）	AM30		Special Topics in Exercise Physiology			0	50	選	◎課程開放上修	N	0018	王鶴森	一 7-9 和平 體002	
113	2	10	0	學校體育經營與管理	8		25	25		PEC0090		半	3.0	體育系（碩）	AM30		Administration and Management of Physical Education in Schools			0	50	選	◎課程開放上修	N	0019	鄭志富 張琪	四 7-9 和平 體001	
113	2	10	0	運動身體哲學研究	8		26	26		PEC0105		半	3.0	體育系（碩）	AM30		Studies in  Philosophy of Sport Embodiment			0	50	選	◎課程開放上修	N	0020	林慶宏	四 2-4 和平 體001	
113	2	10	0	臺灣體育運動史研究	8	上課教室：和平校區體育館三樓運動管理學研究室	6	6		PEC0106		半	3.0	體育系（碩）	AM30		Studies in Modern Taiwanese Physical Education and Sport History			0	50	選	◎課程開放上修	N	0021	林玫君	一 7-9 和平 教室自排	
113	2	10	0	身體活動心理學專題研究	8		8	8		PEC0118		半	3.0	體育系（碩）	AM30		Special Topics on Physical Activity Psychology			0	50	選	◎課程開放上修	N	0022	張育愷	一 7-9 和平 體003	
113	2	10	0	健身運動心生理學專題研究	8		14	14		PEC0122		半	3.0	體育系（碩）	AM30		Special Topics on Exercise Psychophysiology			0	50	選	◎課程開放上修	N	0023	洪聰敏	三 2-4 和平 體002	
