學年度	開課系所代碼	開課系所名稱	科目代碼	科目中文名稱	科目英文名稱	必選修	全/半	上學期學分	下學期學分	上學期正課時數	上學期實驗時數	下學期正課時數	下學期實驗時數	停開	
113	VS   	全人中心	0000001 	服務學習（一）	Service-Learning (I)	必修	半	0.0	0.0	0.0	0.0	0.0	0.0		
113	EU00 	教育系（學）	0000002 	服務學習（二）－教育系	Service-Learning (II)	必修	半	0.0	0.0	1.0	0.0	1.0	0.0		
113	EU00 	教育系（學）	0000003 	服務學習（二）－教育系學會	Service-Learning (II)	必修	半	0.0	0.0	1.0	0.0	1.0	0.0		
113	EU01 	心輔系（學）	0000004 	服務學習（二）－心輔系	Service-Learning (II)	必修	半	0.0	0.0	1.0	0.0	1.0	0.0		
113	EU02 	社教系（學）	0000006 	服務學習（二）－社教系	Service-Learning (II)	必修	半	0.0	0.0	1.0	0.0	1.0	0.0		
113	EU05 	衛教系（學）	0000009 	服務學習（二）－衛教系學會	Service-Learning (II)	必修	半	0.0	0.0	1.0	0.0	1.0	0.0		
113	EU06 	幼家科學系（學）	0000010 	服務學習（二）－人發系	Service-Learning(II)	必修	半	0.0	0.0	1.0	0.0	1.0	0.0		
113	EU06 	幼家科學系（學）	0000011 	服務學習（二）－人發系學會	Service-Learning(II)	必修	半	0.0	0.0	1.0	0.0	0.0	0.0	 	
113	EU07 	公領系（學）	0000013 	服務學習（二）－公領系學會	Service-Learning (II)	必修	半	0.0	0.0	1.0	0.0	1.0	0.0		
113	EU09 	特教系（學）	0000014 	服務學習（二）－特教系	Service-Learning (II)	必修	半	0.0	0.0	1.0	0.0	1.0	0.0		
113	LU20 	國文系（學）	0000016 	服務學習（二）－國文系	Service-Learning (II)	必修	半	0.0	0.0	1.0	0.0	0.0	0.0	 	
113	LU20 	國文系（學）	0000017 	服務學習（二）－國文系學會	Service-Learning (II)	必修	半	0.0	0.0	1.0	0.0	1.0	0.0		
113	LU21 	英語系（學）	0000018 	服務學習（二）－英語系	Service-Learning (II)	必修	半	0.0	0.0	1.0	0.0	1.0	0.0		
113	LU21 	英語系（學）	0000019 	服務學習（二）－英語系學會	Service-Learning (II)	必修	半	0.0	0.0	1.0	0.0	1.0	0.0		
113	LU22 	歷史系（學）	0000020 	服務學習（二）－歷史系	Service-Learning (II)	必修	半	0.0	0.0	1.0	0.0	1.0	0.0		
113	LU22 	歷史系（學）	0000021 	服務學習（二）－歷史系學會	Service-Learning (II)	必修	半	0.0	0.0	1.0	0.0	1.0	0.0		
113	LU23 	地理系（學）	0000022 	服務學習（二）－地理系	Service-Learning (II)	必修	半	0.0	0.0	1.0	0.0	1.0	0.0		
113	LU23 	地理系（學）	0000023 	服務學習（二）－地理系學會	Service-Learning (II)	必修	半	0.0	0.0	1.0	0.0	1.0	0.0		
113	SU40 	數學系（學）	0000024 	服務學習（二）－數學系	Service-Learning (II)	必修	半	0.0	0.0	1.0	0.0	1.0	0.0		
113	SU40 	數學系（學）	0000025 	服務學習（二）－數學系學會	Service-Learning (II)	必修	半	0.0	0.0	1.0	0.0	1.0	0.0		
113	SU41 	物理系（學）	0000026 	服務學習（二）－物理系	Service-Learning (II)	必修	半	0.0	0.0	1.0	0.0	1.0	0.0		
