acadm_year	acadm_term	authorize_p	authorize_using	chn_name	classes	comment	counter	counter_exceptAuth	course_avg	course_code	course_group	course_kind	credit	dept_chiabbr	dept_code	dept_group_name	eng_name	eng_teach	form_s	limit	limit_count_h	option_code	restrict	rt	serial_no	teacher	time_inf	generalCore
113	2	0	1	運動傷害與急救 </br>[ 學分學程：高齡學程 ]			7	6		FPU0008		半	2.0	國訓學士班	9U77		Sports Injuries and First Aids </br>[ Program: The program of Cultivating Seniors Service Talent in Community ]			0	0	選			8000	國訓教師		
113	2	0	0	運動生物力學 </br>[ 學分學程：肌力與體能學程 運動傷害防護學程 ]			1	1		PEU0030		半	2.0	國訓學士班	9U77		Biomechanics of Sport </br>[ Program: The Program of Strength and Conditioning The Program of Injury Prevention and Athletic Training ]			0	0	必			8004	國訓教師		
113	2	0	0	遊戲程式設計 </br>[ 學分學程：資訊科技應用學程 ]			2	2		05UG025		半	2.0	國訓學士班	9U77		Learn to Code: Images, Animation, and Games </br>[ Program: The Program of Application of Information Technology ]			0	0	通			8011	國訓教師		
113	2	0	1	生活中的化學 </br>[ 學分學程：科技化教學產業學程 ]			3	2		06UG007		半	2.0	國訓學士班	9U77		Life with Chemistry </br>[ Program: The Program of Technology-assisted Teaching Industry ]			0	0	通			8017	國訓教師		
113	2	10	0	聚落地理研討	8		5	5		GEC0011		半	2.0	地理系（碩）	LM23		Studies in Settlement Geography			0	30	選	◎課程開放上修	N	8035	譚鴻仁 陳台智	一 A-B 和平 地理系研討室五	
113	2	0	0	能源應用技術（一）			9	9		IEU3158		半	3.0	工教系（學）	HU70		Technology of  Energy Application (I)			0	30	選		N	8036	鄧敦平	一 1-4 和平 能源應用工場	
113	2	10	0	美國文學			47	47		ENU0226		半	3.0	英語系（學）	LU21		American Literature	是	3	0	50	必		N	8037	李秀娟	一 3-5 和平 正404	
113	2	30	11	自主學習：專題探究		台大系統學生以全授權碼方式選課	11	0		0SUG539	E	半	2.0	通識	GU		Self-Directed Learning: Inquiry Study			0	0	通	允許重複修	N	8038	徐敏雄	一 A-B 和平 誠206	C1UG
113	2	30	8	自主學習：專題探究		台大系統學生以全授權碼方式選課	8	0		0SUG539	D	半	2.0	通識	GU		Self-Directed Learning: Inquiry Study			0	0	通	允許重複修	N	8039	湯發凱	三 6-7 和平 行健閣	C1UG
113	2	10	0	華語文語言政策研究	8		5	5		CLC8016		半	3.0	華語系（碩）	IM84		Language Policies for Tcsl			0	50	選	◎課程不開放上修	N	8040	楊聰榮	三 2-4 和平 博1003	
